fund,display_name,n_samples,mean,p0.001,p0.01,p0.1,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,p99.99,p99.999
sentinel_bio,Sentinel Bio,1000000,1.1254489648065095e+26,52313443330203.72,69930288622242.8,92033975318605.6,129558920134366.77,203601678839461.44,330851446715749.06,1426378983422817.8,1.6825253575560156e+16,2.0052645978619315e+17,8.901886103556567e+17,1.568153523092215e+18,2.9973561967060914e+26,2.4341751593751934e+28,1.0468059205895104e+29,2.82647892806023e+29
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,1000000,1.1254483675294346e+26,52313395377980.555,69930293331832.53,92033745502777.12,129558982094722.34,203601304813214.94,330850264947359.06,1426371602729204.5,1.6825249033526606e+16,2.005238055623568e+17,8.901901379588399e+17,1.5681534380298132e+18,2.9973855475306586e+26,2.4342079853598706e+28,1.0468056734075098e+29,2.826469233660149e+29
longview_ai,Longview Philanthropy AI Program,1000000,1.125873105305914e+26,52315664308245.37,69932616284067.68,92104045581441.11,129609621942365.2,203683191266244.78,330970954954080.3,1426783559481077.0,1.6832695330232516e+16,2.0059996832914067e+17,8.904823139050668e+17,1.5686767717465595e+18,2.9984010060614944e+26,2.4352243127081564e+28,1.0468138166149118e+29,2.826505590177271e+29
