project_id,$10M,$20M,$30M,$40M,$50M,$60M,$70M,$80M,$90M,$100M,$110M,$120M,$130M,$140M,$150M,$160M,$170M,$180M,$190M,$200M,$210M,$220M,$230M,$240M,$250M,$260M,$270M,$280M,$290M,$300M,$310M,$320M,$330M,$340M,$350M,$360M,$370M,$380M,$390M,$400M,$410M,$420M,$430M,$440M,$450M,$460M,$470M,$480M,$490M,$500M,$510M,$520M,$530M,$540M,$550M,$560M,$570M,$580M,$590M,$600M,$610M,$620M,$630M,$640M,$650M,$660M,$670M,$680M,$690M,$700M,$710M,$720M,$730M,$740M,$750M,$760M,$770M,$780M,$790M,$800M,$810M,$820M,$830M,$840M,$850M,$860M,$870M,$880M,$890M,$900M
sentinel_bio,1.000,1.000,1.000,0.922,0.728,0.533,0.339,0.272,0.237,0.203,0.168,0.133,0.099,0.064,0.048,0.045,0.042,0.040,0.038,0.036,0.034,0.033,0.031,0.030,0.029,0.028,0.027,0.026,0.025,0.024,0.023,0.023,0.022,0.021,0.021,0.020,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008
longview_nuclear,1.000,0.899,0.752,0.430,0.237,0.208,0.179,0.149,0.120,0.091,0.062,0.048,0.044,0.041,0.038,0.036,0.034,0.032,0.030,0.029,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.020,0.020,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.010,0.010,0.010,0.010,0.010,0.010,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006
longview_ai,1.000,1.000,1.000,1.000,1.000,0.964,0.929,0.893,0.857,0.821,0.786,0.750,0.714,0.679,0.643,0.607,0.571,0.536,0.500,0.464,0.429,0.393,0.357,0.321,0.286,0.250,0.241,0.232,0.224,0.217,0.210,0.203,0.197,0.191,0.186,0.181,0.176,0.171,0.167,0.163,0.159,0.155,0.151,0.148,0.144,0.141,0.138,0.135,0.133,0.130,0.127,0.125,0.123,0.120,0.118,0.116,0.114,0.112,0.110,0.108,0.107,0.105,0.103,0.102,0.100,0.098,0.097,0.096,0.094,0.093,0.092,0.090,0.089,0.088,0.087,0.086,0.084,0.083,0.082,0.081,0.080,0.079,0.078,0.077,0.076,0.076,0.075,0.074,0.073,0.072
