project_id,$10M,$20M,$30M,$40M,$50M,$60M,$70M,$80M,$90M,$100M,$110M,$120M,$130M,$140M,$150M,$160M,$170M,$180M,$190M,$200M,$210M,$220M,$230M,$240M,$250M,$260M,$270M,$280M,$290M,$300M,$310M,$320M,$330M,$340M,$350M,$360M,$370M,$380M,$390M,$400M,$410M,$420M,$430M,$440M,$450M,$460M,$470M,$480M,$490M,$500M,$510M,$520M,$530M,$540M,$550M,$560M,$570M,$580M,$590M,$600M,$610M,$620M,$630M,$640M,$650M,$660M,$670M,$680M,$690M,$700M,$710M,$720M,$730M,$740M,$750M,$760M,$770M,$780M,$790M,$800M,$810M,$820M,$830M,$840M,$850M,$860M,$870M,$880M,$890M,$900M
sentinel_bio,0.550,0.233,0.140,0.097,0.073,0.057,0.047,0.039,0.034,0.029,0.026,0.023,0.021,0.019,0.017,0.016,0.015,0.013,0.013,0.012,0.011,0.010,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
longview_nuclear,0.486,0.181,0.104,0.071,0.053,0.041,0.033,0.028,0.024,0.021,0.018,0.016,0.015,0.013,0.012,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
longview_ai,0.913,0.771,0.663,0.579,0.512,0.458,0.412,0.374,0.342,0.314,0.290,0.269,0.251,0.235,0.220,0.207,0.195,0.184,0.175,0.166,0.158,0.150,0.143,0.137,0.131,0.126,0.121,0.116,0.112,0.108,0.104,0.100,0.097,0.094,0.090,0.088,0.085,0.082,0.080,0.078,0.075,0.073,0.071,0.069,0.068,0.066,0.064,0.063,0.061,0.060,0.058,0.057,0.056,0.054,0.053,0.052,0.051,0.050,0.049,0.048,0.047,0.046,0.045,0.044,0.043,0.043,0.042,0.041,0.040,0.040,0.039,0.038,0.038,0.037,0.036,0.036,0.035,0.035,0.034,0.034,0.033,0.033,0.032,0.032,0.031,0.031,0.030,0.030,0.029,0.029
