project_id,$10M,$20M,$30M,$40M,$50M,$60M,$70M,$80M,$90M,$100M,$110M,$120M,$130M,$140M,$150M,$160M,$170M,$180M,$190M,$200M,$210M,$220M,$230M,$240M,$250M,$260M,$270M,$280M,$290M,$300M,$310M,$320M,$330M,$340M,$350M,$360M,$370M,$380M,$390M,$400M,$410M,$420M,$430M,$440M,$450M,$460M,$470M,$480M,$490M,$500M,$510M,$520M,$530M,$540M,$550M,$560M,$570M,$580M,$590M,$600M,$610M,$620M,$630M,$640M,$650M,$660M,$670M,$680M,$690M,$700M,$710M,$720M,$730M,$740M,$750M,$760M,$770M,$780M,$790M,$800M,$810M,$820M,$830M,$840M,$850M,$860M,$870M,$880M,$890M,$900M
sentinel_bio,0.848,0.683,0.600,0.546,0.506,0.476,0.452,0.432,0.415,0.400,0.388,0.376,0.366,0.357,0.348,0.341,0.334,0.327,0.321,0.316,0.310,0.305,0.301,0.296,0.292,0.288,0.284,0.281,0.277,0.274,0.271,0.268,0.265,0.263,0.260,0.257,0.255,0.253,0.250,0.248,0.246,0.244,0.242,0.240,0.238,0.236,0.235,0.233,0.231,0.230,0.228,0.226,0.225,0.223,0.222,0.221,0.219,0.218,0.217,0.215,0.214,0.213,0.212,0.211,0.209,0.208,0.207,0.206,0.205,0.204,0.203,0.202,0.201,0.200,0.199,0.198,0.197,0.197,0.196,0.195,0.194,0.193,0.192,0.192,0.191,0.190,0.189,0.188,0.188,0.187
longview_nuclear,0.817,0.640,0.556,0.503,0.466,0.437,0.414,0.396,0.380,0.366,0.354,0.344,0.334,0.326,0.318,0.311,0.304,0.298,0.293,0.288,0.283,0.278,0.274,0.270,0.266,0.262,0.259,0.256,0.253,0.250,0.247,0.244,0.241,0.239,0.237,0.234,0.232,0.230,0.228,0.226,0.224,0.222,0.220,0.218,0.217,0.215,0.213,0.212,0.210,0.209,0.207,0.206,0.205,0.203,0.202,0.201,0.199,0.198,0.197,0.196,0.195,0.194,0.193,0.192,0.190,0.189,0.188,0.188,0.187,0.186,0.185,0.184,0.183,0.182,0.181,0.180,0.180,0.179,0.178,0.177,0.176,0.176,0.175,0.174,0.173,0.173,0.172,0.171,0.171,0.170
longview_ai,0.976,0.935,0.899,0.868,0.841,0.816,0.795,0.775,0.757,0.741,0.726,0.712,0.699,0.687,0.675,0.665,0.655,0.645,0.636,0.628,0.619,0.612,0.604,0.597,0.591,0.584,0.578,0.572,0.567,0.561,0.556,0.551,0.546,0.541,0.536,0.532,0.528,0.523,0.519,0.515,0.512,0.508,0.504,0.501,0.497,0.494,0.491,0.488,0.484,0.481,0.479,0.476,0.473,0.470,0.467,0.465,0.462,0.460,0.457,0.455,0.452,0.450,0.448,0.446,0.443,0.441,0.439,0.437,0.435,0.433,0.431,0.429,0.427,0.425,0.424,0.422,0.420,0.418,0.416,0.415,0.413,0.411,0.410,0.408,0.407,0.405,0.404,0.402,0.401,0.399
