fund,display_name,n_samples,mean,p0.001,p0.01,p0.1,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,p99.99,p99.999
sentinel_bio,Sentinel Bio,100000,4.078605644478249e+38,6708806195304.83,6708806195304.83,6708808954614.629,6920124054344.229,7682734329046.052,10584338725439.627,11768940168545.457,1.0098100154933146e+17,9.82886239069005e+19,1.1286024259910795e+20,2.412854914261523e+27,4.772855719950515e+39,6.265550294094617e+40,5.4629380825136975e+41,5.483908859851518e+41
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,100000,4.078602951479946e+38,6708806131431.928,6708806131431.928,6708808315885.433,6920110400563.039,7682720332603.076,10584337283919.285,11768940168545.457,1.0098100141629266e+17,9.828858123612776e+19,1.1286019248084692e+20,2.412854935896152e+27,4.7728555407159873e+39,6.265528720191904e+40,5.462937995961792e+41,5.483905180392554e+41
longview_ai,Longview Philanthropy AI Program,100000,4.0796947789915804e+38,6708828042093.127,6708828042093.127,6709027424700.348,6922976502907.983,7684545297882.121,10584932578710.51,11768940168545.457,1.0099247071287157e+17,9.830338662808735e+19,1.1291230534746073e+20,2.4129129032644798e+27,4.772965192880738e+39,6.27882555698337e+40,5.462997847660851e+41,5.487274546349522e+41
