effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,109.2,288.9,995.8,1.003e+04,1.304e+05,2.196e+30,84.25,240.5,914,7653,5.196e+04,-9.714e+29,89.26,236,813.7,8112,1.042e+05,7.379e+29,16.49,59.63,242.3,1550,-1.233e+04,-2.484e+30,2.821,11.64,54.93,215.7,-8952,-1.43e+30,46.26,123,424.3,4116,5.064e+04,-2.834e+29,34.8,88.75,290.4,2405,2.167e+04,-1.774e+30,21.1,48.38,134,489.2,-7920,-2.601e+30,36.89,113.7,428.5,3506,1.45e+04,-9.931e+29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,187.5,187.5,187.5,62.51,0,0,187.5,187.5,187.5,62.51,0,0,146.5,146.5,157.8,57.3,0,0,137.3,137.3,136.5,46.17,0,0,102.3,102.3,70.64,16.51,0,0,148.4,148.4,115.3,31.57,0,0,134.8,134.8,99.95,27.06,0,0,115.7,115.7,80.03,21.5,0,0,179.3,179.3,166.9,51.49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,97.66,97.66,97.66,32.56,0,0,97.66,97.66,97.66,32.56,0,0,76.3,76.3,82.21,29.84,0,0,71.53,71.53,71.11,24.05,0,0,53.26,53.26,36.79,8.599,0,0,77.4,77.4,60.25,16.5,0,0,70.89,70.89,52.97,14.4,0,0,61.93,61.93,43.58,11.79,0,0,93.37,93.37,86.91,26.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,43.8,851.8,4493,7.014e+04,8.955e+05,1.773e+31,33.53,720.6,4298,5.471e+04,3.803e+05,-6.398e+30,35.8,696.1,3675,5.732e+04,7.255e+05,8.121e+30,7.607,166.7,1080,1.331e+04,-5.256e+04,-1.636e+31,1.31,34.2,250.4,2539,-4.589e+04,-9.367e+30,18.76,361.5,1896,2.888e+04,3.518e+05,-1.877e+29,14.68,247.5,1203,1.537e+04,1.358e+05,-1.117e+31,9.788,115.1,407.7,629.3,-7.768e+04,-1.729e+31,15.79,325.9,1916,2.64e+04,1.211e+05,-6.542e+30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,1430,1.167e+04,5.023e+04,4.864e+05,5.588e+06,1.421e+32,842.9,8539,4.068e+04,2.854e+05,-4.897e+05,-1.433e+32,-179.9,-1429,-5841,-1.175e+05,-2.961e+06,-7.282e+31,-1864,-1.478e+04,-6.048e+04,-7.051e+05,-1.24e+07,-3.662e+32,-1221,-9743,-4.068e+04,-4.645e+05,-7.488e+06,-2.153e+32,-499,-4209,-1.835e+04,-2.351e+05,-4.157e+06,-1.21e+32,-914.9,-8220,-3.738e+04,-4.657e+05,-7.772e+06,-2.568e+32,-1379,-1.251e+04,-5.715e+04,-6.892e+05,-1.089e+07,-3.252e+32,-218.2,-1394,-3172,-8.778e+04,-3.661e+06,-1.465e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
