intervention,description,mean,p0_15,p1,p2_5,p10,p50,p90,p97_5,p99,p99_85
chicken_corporate_campaigns,Corporate cage-free and welfare campaigns for chickens,1205.1707785218514,53.123343162051384,94.11046155009517,132.29210350616597,246.9131817648191,800.1872816003246,2587.7272782423815,4809.15128500656,6696.538045966063,10000.0
shrimp_welfare,Shrimp slaughter and welfare interventions,2563.9224537164982,-2063.8337645245647,-713.3578702783543,-167.05508312665938,557.6628601948505,1796.204144352649,5271.44278791018,9853.661748810413,14355.038458436939,26734.042414920048
fish_welfare,Farmed fish welfare interventions (carp as proxy species),182.74728263958596,2.2957279906226367,5.327332646509908,8.259064263712903,19.088329378632174,92.31293975377139,420.0427054765288,937.1900637949835,1397.0907254660835,2702.946863718415
invertebrate_welfare,Invertebrate welfare interventions (BSF as proxy species),2261.7890747881147,-52372.46138481401,-10660.761433104008,-852.1940973974398,0.0,0.0,5722.160159979791,26994.895871171833,51981.45501879732,129317.22080208533
policy_advocacy,Policy advocacy affecting multiple farmed species,602.5853892609257,26.561671581025692,47.05523077504758,66.14605175308299,123.45659088240954,400.0936408001623,1293.8636391211908,2404.57564250328,3348.2690229830314,5000.0
movement_building,"Movement capacity building, infrastructure, mobilization",301.29269463046285,13.280835790512846,23.52761538752379,33.07302587654149,61.72829544120477,200.04682040008115,646.9318195605954,1202.28782125164,1674.1345114915157,2500.0
wild_animal_welfare,Wild animal welfare research and field-building,457.1862571938361,-23297.008366796214,-3254.6324876415183,-4.2651271540676445,0.0,0.0,3.618228506520674,6312.921761898712,15297.546224859436,50733.96088250235
