intervention,description,split_weight,mean,p0_15,p1,p2_5,p10,p50,p90,p97_5,p99,p99_85
movement_building,"Movement capacity building, infrastructure, mobilization",0.4125,301.29269463046285,13.280835790512846,23.52761538752379,33.07302587654149,61.72829544120477,200.04682040008115,646.9318195605954,1202.28782125164,1674.1345114915157,2500.0
policy_advocacy,Policy advocacy affecting multiple farmed species,0.125,602.5853892609257,26.561671581025692,47.05523077504758,66.14605175308299,123.45659088240954,400.0936408001623,1293.8636391211908,2404.57564250328,3348.2690229830314,5000.0
chicken_corporate_campaigns,Corporate cage-free and welfare campaigns for chickens,0.08750000000000001,1205.1707785218514,53.123343162051384,94.11046155009517,132.29210350616597,246.9131817648191,800.1872816003246,2587.7272782423815,4809.15128500656,6696.538045966063,10000.0
fish_welfare,Farmed fish welfare interventions (carp as proxy species),0.15625,181.26272177147865,2.4491265245680194,5.327549839035321,8.309699262283274,19.17895959976807,92.3912871370465,421.4344729161239,908.1540691961013,1381.8285767954687,2643.369061174608
shrimp_welfare,Shrimp slaughter and welfare interventions,0.15625,2669.4987624495207,-1431.1150778290928,-47.9178580933722,319.72729350024076,682.3374867511666,1873.8862217338324,5345.674824688892,9961.802441847105,14456.263657093725,26752.32214192659
invertebrate_welfare,Invertebrate welfare interventions (BSF as proxy species),0.03125,2214.161043200573,-56207.2743785833,-10874.827258465673,-585.552063851428,0.0,0.0,5698.1928907181655,27184.414812425006,51257.97449485957,137776.37216869742
wild_animal_welfare,Wild animal welfare research and field-building,0.03125,491.01728274007917,-29156.30391372668,-3375.107050613113,-4.708834827768448,0.0,0.0,3.8361968359213714,6321.878760662425,16291.3701104139,61892.63590825551
