effect_type,time_horizon,mean,5th_percentile,95th_percentile
YLDs_averted,0-5 years,2993.993858395988,2173.049192118327,3957.2354901932285
YLDs_averted,5-10 years,232.8661889863546,169.0149371647588,307.7849825705844
YLDs_averted,10-20 years,83.16649606655521,60.36247755884242,109.923208060923
YLDs_averted,20-100 years,16.63329921331104,12.072495511768485,21.9846416121846
YLDs_averted,100-500 years,0.0,0.0,0.0
YLDs_averted,500+ years,0.0,0.0,0.0
life_years_saved,0-5 years,11705.883064832511,8496.162964974768,15471.954218711824
life_years_saved,5-10 years,910.4575717091956,660.8126750535931,1203.3742170109197
life_years_saved,10-20 years,325.16341846756984,236.0045268048547,429.7765060753285
life_years_saved,20-100 years,65.03268369351396,47.200905360970935,85.95530121506569
life_years_saved,100-500 years,0.0,0.0,0.0
life_years_saved,500+ years,0.0,0.0,0.0
income_doublings,0-5 years,3473.004807046923,2520.716690521084,4590.356069541424
income_doublings,5-10 years,270.1225961036496,196.0557425960843,357.0276942976663
income_doublings,10-20 years,2411.808893782586,1750.4977017507526,3187.7472705148775
income_doublings,20-100 years,13139.534853327528,9536.711479138101,17366.847129765058
income_doublings,100-500 years,0.0,0.0,0.0
income_doublings,500+ years,0.0,0.0,0.0
