fund,display_name,tier_name,n_samples,mean,p1,p5,p10,p50,p90,p95,p99
sentinel_bio,Sentinel Bio,,100000,8.36422316566597e+31,-15602556988346.281,0.0,0.0,0.0,10870060486641.736,139490064677262.42,7.985950949717185e+27
sentinel_bio_100m_1b,100M-1B deaths,100M-1B deaths,100000,1518.0974466414139,-3348.245823635996,0.0,0.0,0.0,3348.245823635996,11160.81941211999,33482.45823635997
sentinel_bio_10m_100m,10M-100M deaths,10M-100M deaths,100000,790.6794997935987,-1743.8862958866755,0.0,0.0,0.0,1743.8862958866755,5812.954319622253,17438.862958866757
sentinel_bio_1b_8b,1B-8B deaths,1B-8B deaths,100000,3375.803979636319,-7445.51780996503,0.0,0.0,0.0,7445.51780996503,24818.392699883432,74455.1780996503
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,,100000,8.630755942101325e+31,-16993369060689.703,0.0,0.0,0.0,10900767552746.54,139296281732506.25,7.957794520605917e+27
longview_nuclear_100m_1b,100M-1B deaths,100M-1B deaths,100000,491.90548622173526,-1084.924089365522,0.0,0.0,0.0,1084.924089365522,3616.4136312184055,10849.240893655215
longview_nuclear_10m_100m,10M-100M deaths,10M-100M deaths,100000,256.1732651971896,-565.0039575662954,0.0,0.0,0.0,565.0039575662954,1883.3465252209846,5650.039575662954
longview_nuclear_1b_8b,1B-8B deaths,1B-8B deaths,100000,2191.9240462721746,-4834.406743713912,0.0,0.0,0.0,4834.406743713912,16114.68914571304,48344.06743713912
longview_ai,Longview Philanthropy AI Program,,100000,3.2722341081379835e+32,-7.832293568502205e+16,-4844832619240.835,-85404241.56070279,0.0,18102461939187.46,362862840540887.56,1.3194087508295359e+27
longview_ai_100m_1b,100M-1B deaths,100M-1B deaths,100000,90.74793770918785,-3001.7951984250676,-300.17951984250675,-40.0239359790009,0.0,400.23935979000896,400.23935979000896,4002.393597900089
longview_ai_10m_100m,10M-100M deaths,10M-100M deaths,100000,83.16400770838534,-2750.93104397392,-275.093104397392,-36.67908058631893,0.0,366.79080586318935,366.79080586318935,3667.9080586318933
longview_ai_1b_8b,1B-8B deaths,1B-8B deaths,100000,285.88029655340256,-9456.458440613727,-945.6458440613725,-126.08611254151633,0.0,1260.8611254151633,1260.8611254151633,12608.611254151636
