effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,136.3,2603,1.245e+04,2.224e+05,3.797e+06,8.364e+31,107,2034,9924,1.484e+05,1.082e+06,-1.733e+31,67.19,1282,6143,1.038e+05,1.739e+06,1.433e+31,-21.48,-403,-2084,-6.509e+04,-1.976e+06,-8.856e+31,5.692,118,536.9,-1129,-3.667e+05,-2.564e+31,57.17,1081,5112,8.684e+04,1.415e+06,1.888e+30,42.64,694.2,3001,3.865e+04,3.889e+05,-4.468e+31,25.24,248.7,620.9,-1.191e+04,-5.638e+05,-5.037e+31,49.16,946.7,4360,5.61e+04,1.272e+05,-1.771e+31
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,415.1,355.8,427,320.2,0,0,415.1,355.8,427,320.2,0,0,207.6,178,213.8,160.2,0,0,88.15,57.93,-29.6,-65.12,0,0,79.39,54.43,29.95,13.85,0,0,183.3,147.5,164,123.1,0,0,137,108.8,115.8,87.53,0,0,79.89,61.97,59.22,45.75,0,0,300.2,239.6,188.4,98.47,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,216.2,185.3,222.4,166.8,0,0,216.2,185.3,222.4,166.8,0,0,108.1,92.73,111.3,83.42,0,0,45.91,30.17,-15.42,-33.92,0,0,41.35,28.35,15.6,7.216,0,0,95.93,77.2,85.87,64.45,0,0,73.83,58.7,62.65,47.33,0,0,46.39,36.14,35.08,27.02,0,0,156.4,124.8,98.11,51.29,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,923,791.2,949.6,712,0,0,923,791.2,949.6,712,0,0,461.7,395.9,475.4,356.2,0,0,196,128.8,-65.82,-144.8,0,0,176.5,121,66.6,30.81,0,0,405,325.8,362.2,271.8,0,0,291.9,231.3,245.4,185.6,0,0,152.9,117.9,110,85.42,0,0,667.6,532.9,418.9,219,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,132.2,2525,1.232e+04,2.232e+05,3.819e+06,8.631e+31,101.6,1973,9774,1.49e+05,1.084e+06,-1.734e+31,63.96,1226,6017,1.056e+05,1.791e+06,1.693e+31,-21.85,-404.1,-2122,-6.338e+04,-1.932e+06,-8.865e+31,5.209,110.2,516.2,-459,-3.518e+05,-2.566e+31,55,1042,5040,8.764e+04,1.437e+06,2.854e+30,40.95,667.4,2947,3.945e+04,4.113e+05,-4.468e+31,24.08,235.1,586.7,-1.115e+04,-5.42e+05,-5.044e+31,47.94,923.6,4322,5.686e+04,1.414e+05,-1.773e+31
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,134.5,115.3,138.4,103.8,0,0,134.5,115.3,138.4,103.8,0,0,67.27,57.69,69.27,51.9,0,0,28.56,18.77,-9.591,-21.1,0,0,25.72,17.64,9.705,4.489,0,0,59.89,48.21,53.64,40.25,0,0,47.04,37.44,40.03,30.24,0,0,31.04,24.25,23.78,18.27,0,0,97.28,77.65,61.04,31.91,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,70.04,60.04,72.06,54.03,0,0,70.04,60.04,72.06,54.03,0,0,35.03,30.04,36.08,27.03,0,0,14.88,9.776,-4.995,-10.99,0,0,13.4,9.184,5.054,2.338,0,0,31.35,25.24,28.09,21.08,0,0,25.29,20.16,21.6,16.32,0,0,17.73,13.9,13.8,10.58,0,0,50.66,40.44,31.79,16.62,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,599.3,513.7,616.5,462.3,0,0,599.3,513.7,616.5,462.3,0,0,299.8,257.1,308.7,231.3,0,0,127.3,83.65,-42.74,-94.02,0,0,114.6,78.58,43.25,20,0,0,263.9,212.3,236,177.1,0,0,194,153.9,163.6,123.7,0,0,107.9,83.51,78.99,61.15,0,0,433.5,346,272,142.2,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,1221,9562,4.145e+04,7.243e+05,1.237e+07,3.272e+32,713.6,5670,2.473e+04,2.842e+05,-2.496e+06,-1.513e+32,-2592,-2e+04,-8.485e+04,-1.54e+06,-2.729e+07,-2.78e+32,-4062,-3.144e+04,-1.346e+05,-2.518e+06,-4.798e+07,-7.733e+32,-1059,-8162,-3.488e+04,-6.691e+05,-1.332e+07,-2.281e+32,-466.2,-3709,-1.597e+04,-3.132e+05,-6.011e+06,-1.245e+32,-822.6,-7011,-3.177e+04,-6.554e+05,-1.311e+07,-3.398e+32,-1223,-1.057e+04,-4.824e+04,-9.807e+05,-1.902e+07,-3.601e+32,-164.1,-1215,-5454,-2.034e+05,-7.44e+06,-1.547e+32
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,24.81,21.27,25.53,19.14,0,0,24.81,21.27,25.53,19.14,0,0,-49.6,-42.51,-50.99,-38.26,0,0,-65.54,-58.28,-81.47,-62.39,0,0,-15.29,-14.27,-20.13,-15.82,0,0,-7.885,-6.583,-7.757,-5.805,0,0,-11.88,-9.953,-12.1,-8.983,0,0,-16.77,-14.04,-17.3,-12.79,0,0,10.53,6.911,-3.255,-3.716,0,0
