fund,display_name,tier_name,n_samples,mean,p1,p5,p10,p50,p90,p95,p99
sentinel_bio,Sentinel Bio,,100000,8.487176793847203e+31,-15584823987229.291,0.0,0.0,0.0,10972715514094.896,139490412439682.39,1.0294905371177316e+28
sentinel_bio_100m_1b,100M-1B deaths,100M-1B deaths,100000,1518.0924242726785,-3348.245823635996,-1.3951024264946972,0.0,0.0,3348.245823635996,11160.81941211999,33482.45823635997
sentinel_bio_10m_100m,10M-100M deaths,10M-100M deaths,100000,790.6768839641549,-1743.8862958866755,-0.7266192899422078,0.0,0.0,1743.8862958866755,5812.954319622253,17438.862958866757
sentinel_bio_1b_8b,1B-8B deaths,1B-8B deaths,100000,3375.7928113596045,-7445.51780996503,-3.102299087440285,0.0,0.0,7445.51780996503,24818.392699883432,74455.1780996503
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,,100000,8.474829576642304e+31,-16993369007367.025,0.0,0.0,0.0,11026886241908.916,139438527184328.08,1.0152692698591994e+28
longview_nuclear_100m_1b,100M-1B deaths,100M-1B deaths,100000,491.9038588356013,-1084.924089365522,-0.45205170389572247,0.0,0.0,1084.924089365522,3616.4136312184055,10849.240893655215
longview_nuclear_10m_100m,10M-100M deaths,10M-100M deaths,100000,256.17241769125326,-565.0039575662954,-0.23541831564919732,0.0,0.0,565.0039575662954,1883.3465252209846,5650.039575662954
longview_nuclear_1b_8b,1B-8B deaths,1B-8B deaths,100000,2191.9167946620582,-4834.406743713912,-2.0143361431848175,0.0,0.0,4834.406743713912,16114.68914571304,48344.06743713912
longview_ai,Longview Philanthropy AI Program,,100000,4.328781100634295e+32,-1.0343220076843163e+17,-4748270668341.16,-83330149.48348053,0.0,18102461994846.45,369236106804647.8,1.811173355714873e+27
longview_ai_100m_1b,100M-1B deaths,100M-1B deaths,100000,90.74733735014817,-3001.7951984250676,-300.17951984250675,-40.0239359790009,0.0,400.23935979000896,400.23935979000896,4002.393597900089
longview_ai_10m_100m,10M-100M deaths,10M-100M deaths,100000,83.16345752217656,-2750.93104397392,-275.093104397392,-36.67908058631893,0.0,366.79080586318935,366.79080586318935,3667.9080586318933
longview_ai_1b_8b,1B-8B deaths,1B-8B deaths,100000,285.8784052617145,-9456.458440613727,-945.6458440613725,-126.08611254151633,0.0,1260.8611254151633,1260.8611254151633,12608.611254151636
