effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,142.5,2694,1.268e+04,2.254e+05,3.83e+06,8.487e+31,106.7,2034,1.002e+04,1.539e+05,1.215e+06,-4.404e+30,69.1,1330,6482,1.231e+05,2.225e+06,6.726e+31,-26.51,-445.3,-1896,-4.362e+04,-1.398e+06,-2.251e+31,4.62,110.1,600.5,5355,-1.922e+05,-5.783e+30,59.38,1119,5281,9.399e+04,1.588e+06,2.485e+31,43.89,715.9,3144,4.724e+04,6.193e+05,-9.889e+30,25.38,252.4,736.6,-1895,-2.813e+05,-1.278e+31,48.54,949.1,4439,6.097e+04,2.425e+05,-4.499e+30
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,415.1,355.8,427,320.2,0,0,415.1,355.8,427,320.2,0,0,207.6,178,213.8,160.2,0,0,88.15,57.93,-29.61,-65.12,0,0,79.39,54.43,29.95,13.85,0,0,183.3,147.5,164,123.1,0,0,137,108.8,115.8,87.53,0,0,79.89,61.96,59.21,45.75,0,0,300.2,239.6,188.4,98.47,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,216.2,185.3,222.4,166.8,0,0,216.2,185.3,222.4,166.8,0,0,108.1,92.73,111.3,83.42,0,0,45.91,30.17,-15.42,-33.92,0,0,41.35,28.35,15.6,7.215,0,0,95.93,77.2,85.87,64.45,0,0,73.83,58.7,62.64,47.33,0,0,46.39,36.13,35.08,27.02,0,0,156.4,124.8,98.11,51.29,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,923,791.2,949.5,712,0,0,923,791.2,949.5,712,0,0,461.7,395.9,475.4,356.2,0,0,196,128.8,-65.83,-144.8,0,0,176.5,121,66.6,30.81,0,0,405,325.8,362.2,271.8,0,0,291.9,231.3,245.4,185.6,0,0,152.9,117.9,110,85.42,0,0,667.6,532.9,418.9,219,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,138.1,2615,1.257e+04,2.248e+05,3.815e+06,8.475e+31,102.8,1998,9897,1.546e+05,1.229e+06,-4.637e+30,66.49,1285,6408,1.25e+05,2.291e+06,6.62e+31,-26.8,-449.4,-1921,-4.015e+04,-1.289e+06,-2.37e+31,4.196,102.7,588.3,6469,-1.603e+05,-6.14e+30,57.28,1084,5231,9.449e+04,1.607e+06,2.44e+31,42.35,692.9,3111,4.821e+04,6.546e+05,-1.052e+31,24.48,243.8,723.6,-495,-2.328e+05,-1.347e+31,46.43,910.3,4380,6.186e+04,2.691e+05,-4.737e+30
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,134.5,115.3,138.4,103.8,0,0,134.5,115.3,138.4,103.8,0,0,67.27,57.69,69.27,51.9,0,0,28.56,18.77,-9.593,-21.1,0,0,25.72,17.64,9.704,4.489,0,0,59.89,48.21,53.64,40.25,0,0,47.04,37.44,40.03,30.24,0,0,31.04,24.25,23.78,18.27,0,0,97.28,77.65,61.04,31.91,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,70.04,60.04,72.06,54.03,0,0,70.04,60.04,72.06,54.03,0,0,35.03,30.04,36.07,27.03,0,0,14.87,9.775,-4.996,-10.99,0,0,13.4,9.184,5.054,2.338,0,0,31.34,25.24,28.09,21.08,0,0,25.29,20.16,21.6,16.31,0,0,17.73,13.9,13.8,10.58,0,0,50.66,40.44,31.79,16.62,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,599.3,513.7,616.5,462.3,0,0,599.3,513.7,616.5,462.3,0,0,299.8,257.1,308.7,231.3,0,0,127.3,83.64,-42.75,-94.02,0,0,114.6,78.58,43.24,20,0,0,263.9,212.3,236,177.1,0,0,194,153.9,163.6,123.7,0,0,107.9,83.5,78.98,61.15,0,0,433.5,346,272,142.2,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,1271,9970,4.302e+04,7.438e+05,1.265e+07,4.329e+32,698.5,5520,2.531e+04,3.298e+05,-1.2e+06,-1.019e+32,-2674,-2.021e+04,-8.281e+04,-1.358e+06,-2.194e+07,2.53e+31,-4238,-3.22e+04,-1.337e+05,-2.311e+06,-4.152e+07,-5.208e+32,-1107,-8367,-3.456e+04,-6.064e+05,-1.139e+07,-1.517e+32,-479.4,-3684,-1.503e+04,-2.543e+05,-4.308e+06,-1.227e+31,-852,-7098,-3.104e+04,-5.824e+05,-1.084e+07,-2.25e+32,-1269,-1.077e+04,-4.773e+04,-8.954e+05,-1.63e+07,-2.424e+32,-205.2,-1345,-5032,-1.617e+05,-6.16e+06,-1.041e+32
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,24.81,21.27,25.53,19.14,0,0,24.81,21.27,25.53,19.14,0,0,-49.6,-42.51,-50.99,-38.26,0,0,-65.54,-58.28,-81.48,-62.39,0,0,-15.29,-14.28,-20.13,-15.82,0,0,-7.885,-6.583,-7.758,-5.805,0,0,-11.88,-9.953,-12.1,-8.983,0,0,-16.77,-14.04,-17.3,-12.79,0,0,10.53,6.911,-3.255,-3.716,0,0
