fund,display_name,n_samples,mean,p0.001,p0.01,p0.1,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,p99.99,p99.999
sentinel_bio,Sentinel Bio,100000,3.875814715609793e+38,6708806195304.83,6708806195304.83,6708808954614.629,6922285291507.17,7682734329046.052,10616066440734.047,11768940168545.457,1.0098109421847976e+17,9.828868261456272e+19,1.1286024259910795e+20,2.412856442836102e+27,4.7728857730857044e+39,5.877760721226131e+40,5.421527490655717e+41,5.4839534481555005e+41
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,100000,3.875808853963767e+38,6708806131431.928,6708806131431.928,6708808315885.433,6922278712034.833,7682721518194.99,10616066440734.357,11768940168545.457,1.0098102674973946e+17,9.828863369630894e+19,1.1286019248084692e+20,2.4128561024923994e+27,4.772879233412514e+39,5.87775963275471e+40,5.421527356163437e+41,5.483934695584761e+41
longview_ai,Longview Philanthropy AI Program,100000,3.878188363728004e+38,6708828042093.127,6708828042093.127,6709027424700.348,6946109508351.33,7684545297882.121,10616066441019.51,11768940168545.457,1.010163118068283e+17,9.830821291061112e+19,1.1291230534746073e+20,2.41301447367863e+27,4.7751526688963485e+39,5.878136302596052e+40,5.421612143803293e+41,5.488891840971065e+41
